,country,year,value,region,democraticStatus,freedomStatus,populaiton,overview,freedomRating,cL,pL,url
Democracy Index,Ethiopia,2014,3.72,Eastern,No,Not Free,99390750,"In 2014 the Ethiopian government continued to suppress free speech and associational rights, shattering hopes for meaningful reform under Prime Minister Hailemariam Desalegn. Government harassment and arrest of prominent opposition and media members continued, including the April arrest of nine journalists who were charged under Ethiopia�s controversial antiterrorism law. In April and May, massive protests in Oromia Regional State broke out following the announcement of the planned expansion of Addis Ababa into Oromia. At least 17 people died after the military fired on unarmed protesters.

Despite nascent signs of an opening with Eritrea, formal dialogues remain frozen between the two countries. The Ethiopian-Eritrean border remains highly militarized, though no major border clashes were reported in 2014.

Sporadic violence resumed in Ethiopia�s Ogaden region after talks failed in 2013 between the government and the Ogaden National Liberation Front (ONLF), a separatist group that has fought for independence since 1991. In January 2014, two ONLF negotiators dispatched to Nairobi for a third round of talks were abducted and allegedly turned over to Ethiopian authorities by Kenyan police. The kidnappings effectively ended the talks.

Ethiopia ranked 32 out of 52 countries surveyed in the Ibrahim Index of African Governance, below the continental average and among the bottom in East Africa. The country�s modest gains in the index are due to its improvement in human development indicators, but its ranking is held back by low scores in the �Participation and Human Rights� category.",6,6,6,https://freedomhouse.org/report/freedom-world/2015/ethiopia
Democracy Index,Gabon,2014,3.76,Central,No,Not Free,1725292,"In 2014, one of Gabon�s most powerful ministers, Jean Ping, emerged as a serious challenger to President Ali Bongo. In February, Ping announced he was severing all ties with the ruling Gabonese Democratic Party (PDG), and by July he had aligned himself with the newly formed United Opposition Front for Change (FOPA). FOPA members include many former stalwarts of former president El Hadj Omar Bongo Ondimba, Ali Bongo�s father.

On December 20, at least one man was killed and roughly one hundred arrested in the capital, Libreville, when police clashed with protesters to shut down a banned rally calling for the president�s resignation amid growing popular discontent with the stagnant political landscape.",5.5,5,6,https://freedomhouse.org/report/freedom-world/2015/gabon
Democracy Index,Gambia,2014,3.05,Western,No,Not Free,1990924,"The government�s repression of opposition leaders and journalists continued in 2014, intensifying in the run-up to the 2016 presidential elections. On December 30, disaffected Gambian soldiers launched a failed coup attempt while President Yahya Jammeh was abroad. Upon his return on December 31, authorities launched a crackdown on those allegedly involved in the coup plot.

In October, Jammeh signed into law an amendment to the Criminal Code that penalizes �aggravated homosexuality� with life in prison. A spate of arrests of suspected LGBT (lesbian, gay, bisexual, and transgender) individuals throughout the fall intensified the atmosphere of intimidation for sexual minorities.",6,6,6,https://freedomhouse.org/report/freedom-world/2015/gambia
Democracy Index,Ghana,2014,6.33,Western,Yes,Free,27409893,"Following the 2013 Supreme Court ruling reaffirming John Mahama of the National Democratic Congress (NDC) as the duly elected president, Ghana�s political parties commenced preparations for the 2016 presidential and parliamentary elections. The NDC and its main rival, the New Patriotic Party (NPP), held party primaries in late 2014 and elected Mahama and Nana Akufo-Addo as their respective presidential candidates. Guided by the Supreme Court ruling, the Electoral Commission (EC) spearheaded consultations with political parties on issues of electoral reform.

Ghana�s economic situation continued to worsen under high inflation, currency depreciation, credit-rating downgrades, and slower-than-expected economic growth. In September, the government commenced negotiations with the International Monetary Fund (IMF) for a fiscal assistance program with the aim of enhancing investor confidence in the country.

Beginning in September, Ghana served as the hub for coordinating the international response to the outbreak of the Ebola virus in West Africa. The country was not directly affected by the epidemic in 2014.",1.5,2,1,https://freedomhouse.org/report/freedom-world/2015/ghana
Democracy Index,Guinea,2014,3.01,Western,No,Partly Free,12608590,"Guinea was seized for much of the year by an epidemic of the Ebola virus that began in December 2013 in the country�s southeast and soon spread to neighboring countries in West Africa. The president, initially skeptical about the disease�s seriousness, declared a national public health emergency in August, and the government has been actively fighting the outbreak since then. The epidemic stoked fear and suspicion among Guineans, and attacks and threats against health workers occurred throughout the year. Relations between citizens and government have been strained as well. Direct talks over electoral rules between the ruling and opposition parties have stalled, and presidential polls originally scheduled for 2015 face the possibility of delays.

While corruption remains pervasive, the government took important steps toward resolving the country�s most severe bribery scandal in years, suspending the mining license awarded to BSG Resources by former Guinean president Lansana Cont�. The courts remain underresourced and overburdened, however, and scant progress was made on the long-overdue adjudication of atrocities committed by state security forces after a 2008 coup.

Freedom of movement and the free exercise of religion suffered somewhat as a result of the Ebola epidemic, though the government has maintained that some restrictions are necessary to curtail further spread of the virus.",5,5,5,https://freedomhouse.org/report/freedom-world/2015/guinea
Democracy Index,Guinea-Bissau,2014,1.93,Western,No,Partly Free,1844325,"After several delays, legislative and presidential elections were held in Guinea-Bissau in April 2014 for the first time since a military coup in 2012. A number of new parties competed, and the elections resulted in a victory for the African Party for the Independence of Guinea-Bissau and Cabo Verde (PAIGC), which secured control of the National People�s Assembly and the presidency. In September, the president dismissed Ant�nio Indjai, the man who had led the 2012 coup, from his position as head of the armed forces.

Corruption remains a major problem, bolstered by Guinea-Bissau�s prominent role in international drug trafficking and by the government�s limited resources to combat it. The international community, encouraged by the elections, has renewed its commitment to support Guinea-Bissau in fighting crime and corruption, modernizing its military, and improving the economy.",5,5,5,https://freedomhouse.org/report/freedom-world/2015/guinea-bissau
Democracy Index,Kenya,2014,5.13,Eastern,Yes,Partly Free,46050302,"The Shabaab, the Somalian extremist group, continued its assault on Kenyan territory in 2014, carrying out bombings and other attacks in retaliation for Kenya�s involvement in the African Union peacekeeping mission in Somalia. The Kenyan government responded with a heavy-handed counterterrorism campaign. Following several attacks in Nairobi and Mombasa, the government in April began Operation Usalama Watch, in which thousands of Somali refugees were rounded up in mass arrests and put in camps, and more than 350 others were deported under the premise of �emergency security challenges.� The sweep disproportionately affected Kenyan residents of Somali ethnicity, and was described by rights groups as a violation of national and international law.

After a late-year spike in terrorist attacks, President Uhuru Kenyatta in December signed the Security Laws (Amendment) Act, which gave the government expansive powers to restrict basic rights in the interest of national security. Among other controversial clauses, the legislation authorized the government to monitor and intercept communications, detain terrorism suspects without charge for up to one year, and restrict media reporting on terrorism and related issues. Also that month, the Non-Governmental Organizations Coordination Board deregistered more than 340 nongovernmental organizations (NGOs) that it claimed had not submitted financial records, alleging that they were �vulnerable to abuse as conduits of terrorism financing and money laundering.� The deteriorating security situation toward the end of the year sparked protests in Nairobi and led to the replacement of Kenya�s police chief and the cabinet secretary of the interior.

While Kenyatta remained popular in 2014, his government continued to face challenges from former prime minister Raila Odinga�s Coalition for Reforms and Democracy (CORD). In July, CORD led the so-called Saba Saba rally to protest increasing insecurity and call for a national dialogue on rising ethnic tensions. More than 10,000 people participated in the rally, during which opposition leaders also proposed a referendum to address major issues including land reform and devolution of power to regional governments.

International Criminal Court (ICC) cases against Kenyatta and Deputy President William Ruto for crimes against humanity in connection with 2007�08 postelection violence continued to unravel in 2014. As in the previous year, prosecution witnesses disappeared or withdrew amid threats, and civil society organizations and media outlets that focused on the trials faced intimidation. In September, the parliament voted in favor of the country�s withdrawal from the ICC, a process that would take up to a year to complete. Lawmakers argued that the ICC cases were politically motivated and infringed on Kenya�s sovereignty. Kenyatta in October attended a hearing on his case in The Hague, the Netherlands, becoming the first sitting head of state to appear before the court. In December, ICC prosecutor Fatou Bensouda announced the withdrawal of charges against Kenyatta, citing a lack of evidence and the Kenyan government�s failure to cooperate. The case against Ruto was ongoing as of the end of 2014.",4,4,4,https://freedomhouse.org/report/freedom-world/2015/kenya
Democracy Index,Lesotho,2014,6.66,Southern,Yes,Partly Free,2135022,"On August 30, 2014, Lieutenant General Tlali Kamoli failed to oust Prime Minister Thomas Thabane of the All Basotho Convention in a largely nonviolent coup. Kamoli along with a number of soldiers attacked several police stations, forcing the prime minister to temporarily flee to neighboring South Africa. Thabane returned to Lesotho in early September. At the end of the month, a shootout, allegedly connected to the attempted coup, between police and military forces left two police officers injured. Kamoli escaped to the mountains with approximately 200 soldiers and a large number of weapons. Fearing a motion of confidence, Thabane had suspended the Parliament in June. The Southern African Development Community helped bring about the reopening of Parliament in October.

The political situation in the country remained tense at the end of the year, with members of parliament saying the peace deal may be derailed if provisions that give the president the power to prorogue Parliament are not removed from the constitution.

Lesotho has an adult HIV/AIDS prevalence rate of approximately one in four; more than half of these are women. The government offers free HIV testing to all citizens; however 42 percent of those infected are unable to access antiretroviral treatment.",2.5,3,2,https://freedomhouse.org/report/freedom-world/2015/lesotho
Democracy Index,Liberia,2014,4.95,Western,Yes,Partly Free,4503438,"In 2014, Liberia, along with Guinea and Sierra Leone, experienced the most severe outbreak of the Ebola virus ever recorded. In September, in a highly unusual move, the UN Security Council unanimously declared the crisis a threat to international peace and security.

The crisis prompted the Liberian government to impose a state of emergency in August, announcing that some freedoms would have to be curtailed to fight the virus. The Ebola epidemic was used as a rationale for placing new restrictions on journalists, for the closure of all schools and land borders, and for postponement of senatorial elections scheduled for October. The government also imposed a nationwide nighttime curfew and quarantined several Ebola-stricken areas, including the West Point slum in Monrovia. The latter move was widely criticized and led to clashes between West Point residents and police. The quarantine was lifted after 10 days.

President Ellen Johnson Sirleaf initially defended her administration�s efforts to contain Ebola, blaming its spread on the public�s ignorance and refusal to heed government and health worker warnings. In October, however, she expressed public regret for measures taken early in the crisis, including the quarantines. In November, she lifted the state of emergency, citing progress in combating the epidemic. The rights of LGBT (lesbian, gay, bisexual, and transgender) people came under further assault in 2014 when religious leaders blamed the Ebola outbreak on homosexuality and other �sins.�

In October, the justice minister resigned to protest executive interference in her agency�s work.",3.5,4,3,https://freedomhouse.org/report/freedom-world/2015/liberia
Democracy Index,Madagascar,2014,4.42,Eastern,No,Partly Free,24235390,"Political and economic progress in Madagascar continued to make incremental gains in 2014 in the wake of setbacks resulting from the 2009 governmental coup and dissolution of parliament under transitional president Andry Rajoelina. Hery Rajaonarimampianina, a former finance minister, became the first post-coup, democratically elected president in January 2014. He succeeded Rajoelina, his supporter, after 2013 elections that outside international observers deemed free and fair. Rajaonarimampianina later broke with Rajoelina. In December 2014 he took steps toward national reconciliation, inviting four of his presidential predecessors, including Rajoelina and Marc Ravalomanana, to meet for talks supported by the Southern African Development Community (SADC). Ravalomanana was under house arrest at the time and attended the talks under military escort.

The 2009 coup and ensuing political crisis seriously damaged Madagascar�s economy through the loss of foreign investments and direct aid. The World Bank estimates that 82 percent of Malagasies live in extreme poverty. Economic and security conditions remain strained, especially in the South, but the international community has begun reversing severe sanctions imposed under Rajoelina. The African Union lifted its suspension on Madagascar�s membership following the success of the 2013 elections, and $95 million in World Bank funding, which was contingent on the appointment of a prime minister, was approved anew in December, boosting the public service and job creation. International Monetary Fund (IMF) funding resumed in March 2014, and the United States reinstated Madagascar�s eligibility for financial assistance in June.",4,4,4,https://freedomhouse.org/report/freedom-world/2015/madagascar
Democracy Index,Malawi,2014,5.66,Eastern,Yes,Partly Free,17215232,"Peter Mutharika of the Democratic People�s Party (DPP) won the presidential election in May 2014, defeating the incumbent, Joyce Banda of the People�s Party (PP), and two other candidates. The poll was marred by delays in voting and counting caused by shortcomings on the part of the Malawi Electoral Commission (MEC), as well as some isolated irregularities. However, local and international observers said the vote was generally credible. The DPP also won the most seats in the unicameral National Assembly, but not enough to gain a majority.

As president, Mutharika pledged to address pressing issues such as restoring the donor community�s faith in Malawi in the wake of the so-called Cashgate corruption scandal, in which more than $30 million in state funds was embezzled by mid-level government employees between 2009 and 2013. Some opposition and civil society figures expressed concern that the new president might restart some of the antidemocratic policies of his late brother and former president Bingu wa Mutharika. Peter Mutharika had served in his brother�s cabinet, and he was among a group that had allegedly attempted to execute a coup against then vice president Banda after his brother�s death in 2012.",3.5,4,3,https://freedomhouse.org/report/freedom-world/2015/malawi
Democracy Index,Mali,2014,5.79,Western,No,Partly Free,17599694,"After significant progress in returning to democracy in 2013 following a 2012 coup and an Islamic rebellion in the country�s North, Mali entered an uncertain holding pattern in 2014. Diplomatic talks went on throughout the year, even as violence and instability continued. Ensuring security and combatting violent attacks while addressing northern separatists� demands for greater autonomy remained the primary task for the government and its international allies.

President Ibrahim Boubacar Ke�ta appointed a former electoral rival, Moussa Mara, as the country�s new prime minister on April 5. Former prime minister Oumar Tatam Ly had resigned with no official explanation, but it later emerged that he had felt unable to institute needed reforms. Corruption remains a deep problem within a system dominated by the executive; in 2014, the government disappointed observers with its apparent unwillingness and inability to combat corruption.           

In July, the government and six armed groups signed a ceasefire agreement and a roadmap for further talks. Two more round of talks took place in September and November, with little resolution except to continue the effort. The degree of autonomy sought by the Tuareg rebel groups remains a thorny and chronically divisive issue. Talks are scheduled to resume in early 2015. Meanwhile, the cease-fire remained fragile, with Tuareg groups and Islamist militants clashing with Malian, French, and UN troops. Governance in the North remained tenuous.

Mali reported eight cases of the Ebola virus in 2014 in total, and six deaths. By year�s end, there were no new cases of the disease in Mali and no individuals were being quarantined.",4.5,4,5,https://freedomhouse.org/report/freedom-world/2015/mali
Democracy Index,Mauritania,2014,4.17,Western,No,Not Free,4067564,"President Mohamed Ould Abdel Aziz and his Union for the Republic party (UPR) handily secured a second term in June 2014 against independent runner-up Biram Dah Abeid, the head of the Initiative for the Resurgence of the Abolitionist Movement (IRA-Mauritania).

In an extension of the national agency to combat slavery, established in 2013, a special tribunal to prosecute slavery-related crimes was formed in March 2014. By year�s end, the tribunal had yet to prosecute any cases of slavery or enforce criminal laws against it.

In November 2014, amid local and international outcry, police arrested Abeid and at least eight other human rights defenders for staging a peaceful march in southern Mauritania to raise awareness around the issue of slavery and exploitation. The arrests were followed by a severe crackdown on the IRA-Mauritania offices and members. Those arrested remained in detention pending trial at year�s end.",5.5,5,6,https://freedomhouse.org/report/freedom-world/2015/mauritania
Democracy Index,Mauritius,2014,8.17,Eastern,Yes,Free,1262605,"The opposition Alliance Lepep won a surprising electoral victory in December 2014, unseating incumbent prime minister Navinchandra Ramgoolam�s coalition. The results were widely interpreted as a reaction to Ramgoolam�s proposed constitutional reform to increase the power of the president. Former prime minister Anerood Jugnauth was appointed to the post for his sixth non-consecutive term since 1982.",1.5,2,1,https://freedomhouse.org/report/freedom-world/2015/mauritius
Democracy Index,Mozambique,2014,4.66,Eastern,No,Partly Free,27977863,"After months of political and armed tension between the opposition Mozambique National Resistance (RENAMO)�a former rebel movement�and the ruling Front for the Liberation of Mozambique (FRELIMO), RENAMO was able to activate at least one military front in each region of the country by January 2014, generating fear among the population and increased civilian deaths. However, after negotiations that restarted that month, in August 2014 they agreed to a cease-fire accord that put an end to the military hostilities and brought peace to Mozambique. The leaders of RENAMO and FRELIMO, Afonso Dhlakama and Armando Guebuza, signed the Peace Accord in September.

In October 2014, RENAMO and 29 other parties participated in elections that international observers deemed transparent and fair, despite some irregularities. Both RENAMO and the Democratic Movement of Mozambique (MDM) called for the annulment of the results. The National Elections Commission and the Constitutional Council denied MDM and RENAMO�s claims, and the election results were announced at the end of December.",3.5,3,4,https://freedomhouse.org/report/freedom-world/2015/mozambique
